Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   79.7302  -217.1462  1726.6359     0.3866    -0.6194    -0.6832    -0.8940    -0.0698    -0.4426     0.2265     0.7819    -0.5807
   79.8004  -217.2638  1726.5047     0.3533    -0.6199    -0.7007    -0.8772     0.0409    -0.4785     0.3253     0.7836    -0.5293
   79.8631  -217.3791  1726.3724     0.3197    -0.6170    -0.7191    -0.8691     0.1115    -0.4820     0.3775     0.7790    -0.5006
   79.9187  -217.4919  1726.2387     0.2857    -0.6116    -0.7378    -0.8685     0.1602    -0.4691     0.4051     0.7747    -0.4854
   79.9674  -217.6021  1726.1032     0.2518    -0.6031    -0.7568    -0.8301     0.2674    -0.4893     0.4975     0.7515    -0.4333
   80.0097  -217.7096  1725.9655     0.2186    -0.5931    -0.7749    -0.8681     0.2445    -0.4320     0.4457     0.7671    -0.4614
   80.0460  -217.8151  1725.8250     0.1868    -0.5826    -0.7910    -0.8392     0.3241    -0.4368     0.5108     0.7454    -0.4283
   80.0770  -217.9191  1725.6812     0.1576    -0.5724    -0.8047    -0.8876     0.2751    -0.3694     0.4328     0.7725    -0.4647
   80.1032  -218.0225  1725.5337     0.1311    -0.5638    -0.8154    -0.8867     0.3012    -0.3509     0.4434     0.7690    -0.4604
   80.1253  -218.1262  1725.3821     0.1082    -0.5581    -0.8227    -0.9648     0.1408    -0.2224     0.2399     0.8178    -0.5232
   80.1438  -218.2314  1725.2262     0.0884    -0.5554    -0.8269    -0.9754     0.1201    -0.1849     0.2020     0.8229    -0.5311
   80.1594  -218.3390  1725.0657     0.0736    -0.5554    -0.8283    -0.9798    -0.1953     0.0439    -0.1862     0.8083    -0.5586
   80.1729  -218.4500  1724.9008     0.0620    -0.5593    -0.8266    -0.8826    -0.4174     0.2162    -0.4660     0.7162    -0.5195
